ano;periodo;victimas
2014;Julio;3
2014;Agosto;8
2014;Septiembre;2
2014;Octubre;2
2014;Noviembre;5
2014;Diciembre;5
2015;Enero;3
2015;Febrero;2
2015;Marzo;4
2015;Abril;1
2015;Mayo;4
2015;Junio;5
2015;Julio;9
2015;Agosto;6
2015;Septiembre;2
2015;Octubre;7
2015;Noviembre;7
2015;Diciembre;10
2016;Enero;8
2016;Febrero;4
2016;Marzo;2
2016;Abril;4
2016;Mayo;4
2016;Junio;2
2016;Julio;6
2016;Agosto;4
2016;Septiembre;2
2016;Octubre;4
2016;Noviembre;5
2016;Diciembre;4
2017;Enero;6
2017;Febrero;10
2017;Marzo;3
2017;Abril;4
2017;Mayo;6
2017;Junio;3
2017;Julio;2
2017;Agosto;4
2017;Septiembre;2
2017;Octubre;5
2017;Noviembre;3
2017;Diciembre;3
2018;Enero;2
2018;Febrero;2
2018;Marzo;3
2018;Abril;4
2018;Mayo;1
2018;Junio;5
2018;Julio;6
2018;Agosto;7
2018;Septiembre;10
2018;Octubre;4
2018;Noviembre;2
2018;Diciembre;1
2019;Enero;7
2019;Febrero;3
2019;Marzo;4
2019;Abril;5
2019;Mayo;3
2019;Junio;1
